Date,COINS Portfolio Value,COINS Portfolio % Daily Change,COINS Portfolio % Change YTD,BCOM Price Per Share,BCOM Price Per Share % Change,BCOM Price % Change YTD,BCOM  Value Compared,Spread: COINS - BCOM Portfolio Value
1/31/2023,"$1,287,271.73",1.08%,8.63%,$111.80,0.90%,1.34%,"$1,200,864.69","$86,407.04"
2/1/2023,"$1,277,716.87",-0.74%,7.83%,$109.53,-2.03%,-0.72%,"$1,176,482.19","$101,234.68"
2/2/2023,"$1,264,710.56",-1.02%,6.73%,$109.41,-0.11%,-0.82%,"$1,175,193.25","$89,517.31"
2/3/2023,"$1,240,266.51",-1.93%,4.67%,$107.07,-2.14%,-2.95%,"$1,150,058.87","$90,207.64"
2/6/2023,"$1,243,154.78",0.23%,4.91%,$106.68,-0.36%,-3.30%,"$1,145,869.81","$97,284.97"
2/7/2023,"$1,254,125.88",0.88%,5.84%,$108.11,1.34%,-2.00%,"$1,161,229.71","$92,896.17"
2/8/2023,"$1,255,959.45",0.15%,5.99%,$108.09,-0.02%,-2.02%,"$1,161,014.88","$94,944.57"
2/9/2023,"$1,249,118.11",-0.54%,5.41%,$107.90,-0.18%,-2.19%,"$1,158,974.06","$90,144.05"
2/10/2023,"$1,261,500.41",0.99%,6.46%,$108.68,0.72%,-1.49%,"$1,167,352.18","$94,148.23"
2/13/2023,"$1,260,848.17",-0.05%,6.40%,$108.56,-0.11%,-1.60%,"$1,166,063.24","$94,784.93"
2/14/2023,"$1,263,660.95",0.22%,6.64%,$108.76,0.18%,-1.41%,"$1,168,211.48","$95,449.47"
2/15/2023,"$1,249,554.04",-1.12%,5.45%,$107.22,-1.42%,-2.81%,"$1,151,670.05","$97,883.99"
2/16/2023,"$1,249,340.11",-0.02%,5.43%,$107.44,0.21%,-2.61%,"$1,154,033.11","$95,307.00"
2/17/2023,"$1,247,053.56",-0.18%,5.24%,$106.53,-0.85%,-3.44%,"$1,144,258.63","$102,794.93"
2/20/2023,"$1,247,053.56",0.00%,5.24%,$106.53,0.00%,-3.44%,"$1,144,258.63","$102,794.93"
2/22/2023,"$1,238,105.41",-0.72%,4.48%,$106.13,-0.38%,-3.80%,"$1,139,962.16","$98,143.25"
2/23/2023,"$1,239,301.93",0.10%,4.59%,$105.98,-0.14%,-3.93%,"$1,138,350.98","$100,950.95"
2/24/2023,"$1,228,613.74",-0.86%,3.68%,$105.55,-0.41%,-4.32%,"$1,133,732.27","$94,881.47"
2/27/2023,"$1,229,118.49",0.04%,3.73%,$105.97,0.40%,-3.94%,"$1,138,243.57","$90,874.92"
2/28/2023,"$1,233,924.76",0.39%,4.13%,$106.16,0.18%,-3.77%,"$1,140,284.39","$93,640.37"
3/1/2023,"$1,245,917.53",0.97%,5.14%,$107.29,1.06%,-2.75%,"$1,152,421.93","$93,495.60"
3/2/2023,"$1,240,727.13",-0.42%,4.71%,$106.94,-0.33%,-3.06%,"$1,148,662.52","$92,064.61"
3/6/2023,"$1,251,520.77",0.87%,5.62%,$107.33,0.36%,-2.71%,"$1,152,851.58","$98,669.19"
3/7/2023,"$1,234,229.06",-1.38%,4.16%,$105.77,-1.45%,-4.12%,"$1,136,095.33","$98,133.73"
3/8/2023,"$1,227,527.89",-0.54%,3.59%,$105.05,-0.68%,-4.78%,"$1,128,361.68","$99,166.21"
